sale_id,sale_number,created_at,sale_total,tendered,line_id,description,quantity,unit_price,line_total
5278,INV120,2025-05-03 10:30:39,1.0,1.0,11668,PRIMOLUT-N 5MG 30S,2,32.84,65.68
5296,INV138,2025-05-03 14:12:27,50.0,50.0,11697,GLYCOPYRRONIUM BROMIDE INJ,4,9.0,36.0
5362,INV203,2025-05-06 08:48:20,37.0,37.0,11800,METRONIDAZOLE 400MG TABS 1000S,1,34.5,34.5
5362,INV203,2025-05-06 08:48:20,37.0,37.0,11801,SODIUM VALPORATE 200MG (TORRENT) 100S TABS,3,13.659999999999998,40.98
5419,INV260,2025-05-07 07:47:12,1.0,1.0,11899,AVACORT 200/6MCG,1,23.8,23.8
5419,INV260,2025-05-07 07:47:12,1.0,1.0,11900,NAN 1 400G,6,4.67,28.02
5425,INV266,2025-05-07 10:12:50,2.0,0.0,11908,HUGGIES EXTRA CARE SIZE 0 25S,3,5.0,15.0
5425,INV266,2025-05-07 10:12:50,2.0,0.0,11909,COLCAPS SYRUP 100ML,6,3.73,22.38
5478,INV319,2025-05-08 08:46:02,54.0,54.0,11996,MEROPENEM INJ 1G(SUNPHARMA),10,8.0,80.0
5478,INV319,2025-05-08 08:46:02,54.0,54.0,11997,ZINCODERM CREAM 32 %,2,8.8,17.6
5560,INV401,2025-05-09 10:54:56,4.0,4.0,12133,ZOLENDRONIC ACID 4MG INJ 5ML,1,15.98,15.98
5615,INV456,2025-05-09 19:37:07,1.0,1.0,12216,ZOLENDRONIC ACID 4MG INJ 5ML,2,15.98,31.96
5623,INV464,2025-05-10 04:56:48,4.0,4.0,12226,VARIPAN SYRUP 100ML,13,1.2999999999999998,16.9
5623,INV464,2025-05-10 04:56:48,4.0,4.0,12227,VARIPAN SYRUP 100ML,10,1.3,13.0
5624,INV465,2025-05-10 09:30:36,0.5,0.5,12229,BREAST PUMP (MANUAL),2,10.0,20.0
5624,INV465,2025-05-10 09:30:36,0.5,0.5,12230,BREAST PUMP SILICONE,1,0.5,0.5
5684,INV579,2025-05-12 00:21:53,22.0,22.0,12313,COTTON WOOL  500G,8,4.12,32.96
5686,INV526,2025-05-12 09:37:55,1.0,1.0,12317,PYNSTOP TABLETS 50S,2,7.59,15.18
5691,INV531,2025-05-12 10:29:11,5.0,5.0,12324,KITKAT  MINIS  20G,36,0.16,5.76
5691,INV531,2025-05-12 10:29:11,5.0,5.0,12325,FREEGELLS,24,0.15,3.6
5691,INV531,2025-05-12 10:29:11,5.0,5.0,12326,LUNCH BAR MINI,48,0.27,12.96
5691,INV531,2025-05-12 10:29:11,5.0,5.0,12327,SOFTCARE PADS 8S,24,0.58,13.92
